entity,period,unit,decimals,value
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,1394709000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,6606600000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-112600000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,36476000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,1311945000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-185100000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,2637400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,3100000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,1255739000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1255700000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,241412000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,-42400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,13000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,6231300000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,1413500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,36500000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,2637400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,168983000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1566000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-1900000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,104000000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1567300000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,318100000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,888622000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,8531000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-169000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,125381000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-7700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-17400000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,104000000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,14000000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,362600000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1567300000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,-208600000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1257600000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,197280000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,400000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-17400000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,1394709000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-167700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,1255739000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,9900000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,9900000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1255700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,439700000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,66326000
